zip_code,state,area_code,population
00601,PR,787,18570
00602,PR,787,41520
00603,PR,787,54689
00606,PR,787,6615
00610,PR,787,29016
00612,PR,787,63312
00616,PR,787,11017
00617,PR,787,24597
00622,PR,787,7853
00623,PR,787,43061
00624,PR,787,26241
00627,PR,787,35159
00631,PR,787,1852
00637,PR,787,25287
00638,PR,787,18941
00641,PR,787,31191
00646,PR,787,38199
00647,PR,787,6172
00650,PR,787,14998
00652,PR,787,4715
00653,PR,787,13307
00656,PR,787,21481
00659,PR,787,41953
00660,PR,787,17250
00662,PR,787,43282
00664,PR,787,16784
00667,PR,787,25968
00669,PR,787,29744
00670,PR,787,9807
00674,PR,787,44457
00676,PR,787,40316
00677,PR,939,15272
00678,PR,787,27819
00680,PR,787,58140
00682,PR,787,32615
00683,PR,787,33772
00685,PR,787,42831
00687,PR,787,32610
00688,PR,787,13543
00690,PR,787,6255
00692,PR,787,37511
00693,PR,787,61038
00694,PR,787,328
00698,PR,787,41782
00703,PR,787,28605
00704,PR,787,8577
00705,PR,787,25598
00707,PR,787,12225
00714,PR,787,19566
00715,PR,787,3656
00716,PR,787,33779
00717,PR,787,18457
00718,PR,787,26606
00719,PR,787,30990
00720,PR,787,23129
00723,PR,787,19277
00725,PR,787,77244
00727,PR,787,58382
00728,PR,787,44908
00729,PR,787,53750
00730,PR,787,35742
00731,PR,787,15524
00735,PR,787,13730
00736,PR,787,51532
00738,PR,787,34922
00739,PR,787,39678
00740,PR,787,2071
00741,PR,787,4971
00745,PR,787,55062
00751,PR,787,23129
00754,PR,787,40828
00757,PR,787,23263
00765,PR,787,9098
00766,PR,787,26488
00767,PR,787,38019
00769,PR,787,40248
00771,PR,787,38394
00772,PR,787,23105
00773,PR,787,20068
00775,PR,787,1786
00777,PR,787,40684
00778,PR,787,45429
00780,PR,787,13800
00782,PR,787,19304
00783,PR,787,36557
00784,PR,787,44637
00786,PR,787,357
00791,PR,787,53417
00794,PR,787,30585
00795,PR,787,48736
00901,PR,787,7080
00906,PR,787,4
00907,PR,787,17458
00909,PR,787,6230
00911,PR,787,8623
00912,PR,787,6801
00913,PR,787,9312
00915,PR,787,32820
00917,PR,787,21053
00918,PR,787,18056
00920,PR,787,17893
00921,PR,787,37763
00923,PR,787,29086
00924,PR,787,56691
00925,PR,787,8696
00926,PR,787,93751
00927,PR,787,14936
00934,PR,787,288
00936,PR,787,681
00949,PR,787,68031
00950,PR,787,9
00951,PR,787,35
00952,PR,787,10008
00953,PR,787,66079
00956,PR,787,65841
00957,PR,787,45680
00959,PR,787,50560
00960,PR,787,1779
00961,PR,787,32429
00962,PR,787,22491
00965,PR,787,9134
